X;Y;Z;PART_ID;Cutoff
162;397.742584;-150;1;0.319533724
162;397.323975;-150.019;1;0.277706768
162;396.549408;-150.026;1;0.217495036
162;396.181;-150;1;0.774891024
162;396;-149.987;1;0.264671468
162;395.986389;-149.986;1;0.529783055
162;394;-149.848;1;0.638671692
162;393.836182;-149.836;1;0.225954485
162;393.794678;-149.833;1;0.326445059
162;393.739624;-149.817;1;0.454824014
162;393.684387;-149.781;1;0.353292737
162;392;-149.234;1;0.709764696
162;391.735016;-149.148;1;0.083393341
162;390.297302;-148.03;1;0.536414058
162;390.282562;-148;1;0.941876117
162;390.264069;-147.963;1;0.483591756
162;390;-147.483;1;0.800640985
162;389.19519;-146.021;1;0.549409553
162;389.191772;-146;1;0.54841611
162;389.185425;-145.961;1;0.732200864
162;388.99472;-144.995;1;0.678183307
162;388.802734;-144.022;1;0.459951292
162;388.800903;-144;1;0.510253815
162;388.797485;-143.96;1;0.834988926
162;388.668488;-142.668;1;0.104915567
162;388.603943;-142.023;1;0.311790619
162;388.602753;-142;1;0.538292736
162;388.600525;-141.958;1;0.164282777
162;388.563385;-140.563;1;0.353620436
162;388.548981;-140.023;1;0.625935871
162;388.548462;-140;1;0.775803967
162;388.547241;-139.944;1;0.767635602
162;388.514648;-138.515;1;0.09244357
162;388.503448;-138.024;1;0.914039889
162;388.502686;-138;1;0.930900822
162;388.501282;-137.956;1;0.183824376
162;388.44809;-136.448;1;0.545100691
162;388.433136;-136.025;1;0.915117657
162;388.430908;-136;1;0.213624214
162;388.305115;-134.612;1;0.797224943
162;388.244263;-134.244;1;0.274847784
162;388.207977;-134.025;1;0.195434402
162;388.202759;-134;1;0.200890784
162;388.113434;-133.572;1;0.288339918
162;388;-132.996;1;0.701135438
162;387.808716;-132.026;1;0.917226748
162;387.801758;-132;1;0.173129609
162;387.751038;-131.813;1;0.879433397
162;387.735901;-131.736;1;0.980300123
162;387.401154;-130.026;1;0.868500286
162;387.400146;-130;1;0.078744679
162;387.398315;-129.952;1;0.565998673
162;387.386475;-129.386;1;0.495216111
162;387.358002;-128.027;1;0.161769985
162;387.362976;-128;1;0.411697401
162;387.372223;-127.951;1;0.895339531
162;387.447235;-127.447;1;0.269268215
162;387.662811;-126;1;0.747760606
162;387.682831;-125.866;1;0.183274068
162;387.718048;-125.784;1;0.236977266
162;387.740509;-125.741;1;0.183270725
162;388;-125.242;1;0.535964478
162;388.424774;-124.425;1;0.071924788
162;388.63147;-124.027;1;0.100132476
162;388.641144;-124;1;0.548423167
162;388.996368;-122.996;1;0.790041271
162;389.34906;-122;1;0.769092682
162;389.519226;-121.519;1;0.114290893
162;389.626556;-121.216;1;0.408928014
162;389.901855;-120.592;1;0.222662279
162;390;-120.288;1;0.787108103
162;390.070129;-120.07;1;0.281513848
162;390.083771;-120.028;1;0.09107406
162;390.088776;-120;1;0.052199045
162;390.184479;-119.467;1;0.242082998
162;390.354767;-118.355;1;0.588839123
162;390.404785;-118.028;1;0.757865642
162;390.404602;-118;1;0.672379005
162;390.404297;-117.95;1;0.900854266
162;390.430206;-116.43;1;0.500452567
162;390.437073;-116.028;1;0.718179474
162;390.430176;-116;1;0.678877214
162;390.417419;-115.948;1;0.425661965
162;390.070313;-114.07;1;0.87132336
162;390.062531;-114.028;1;0.355141692
162;390.052551;-114;1;0.840838235
162;390.034058;-113.948;1;0.805448303
162;390;-113.835;1;0.547664997
162;389.456543;-112.028;1;0.633662731
162;389.449463;-112;1;0.104405804
162;389.266327;-111.266;1;0.748256519
162;388.977417;-110.109;1;0.780237967
162;388.940979;-110;1;0.776117108
162;388.923462;-109.948;1;0.895653804
162;388.213562;-108.214;1;0.793692582
162;388.137695;-108.028;1;0.802162273
162;388.12207;-108;1;0.171865625
162;388;-107.779;1;0.609571615
162;387.620422;-107.093;1;0.641167191
162;386.962006;-106.028;1;0.464026088
162;386.940582;-106;1;0.922682181
162;386.901062;-105.948;1;0.03619485
162;386.711761;-105.708;1;0.975159848
162;386;-104.848;1;0.407441988
162;385.623688;-104.394;1;0.716188195
162;385.319611;-104.028;1;0.941569854
162;385.306366;-104;1;0.263153215
162;384.679565;-102.68;1;0.842303891
162;384.519897;-102.343;1;0.380525194
162;384.345428;-102.028;1;0.35270596
162;384.332123;-102;1;0.798511389
162;384.307556;-101.949;1;0.945493776
162;384;-100.678;1;0.172133288
162;383.84259;-100.027;1;0.762270722
162;383.838623;-100;1;0.848806565
162;383.811157;-99.8111;1;0.238486756
162;383.655792;-98.743;1;0.579355621
162;383.63504;-98.6987;1;0.709205434
162;383.173584;-98;1;0.053647649
162;382;-96.2231;1;0.843071864
162;381.852631;-96;1;0.051587431
162;381.718658;-95.7972;1;0.782537539
162;381.643677;-95.6944;1;0.329613447
162;381.568604;-95.6569;1;0.998546496
162;380;-94.9556;1;0.147104419
162;379.646912;-94.7977;1;0.104940034
162;379.57251;-94.7749;1;0.727396803
162;378.470062;-94.4701;1;0.805491876
162;378;-94.3401;1;0.861341076
162;377.649261;-94.2431;1;0.044782771
162;376.076935;-94.0769;1;0.017514844
162;376;-94.0688;1;0.571823355
162;375.690216;-94.036;1;0.309484779
162;375.650543;-94.0299;1;0.206251171
162;375.61087;-94.0279;1;0.699083287
162;375.349609;-94.0259;1;0.357282355
162;374.011383;-94.0114;1;0.90160234
162;374;-94.0113;1;0.552744221
162;373.843201;-94.0096;1;0.001402233
162;373.651245;-94.0144;1;0.20015594
162;373.489563;-94.0259;1;0.72449498
162;372.152374;-94.087;1;0.561811315
162;372.089813;-94.0898;1;0.856396986
162;372;-94.0939;1;0.088933381
162;371.65155;-94.1097;1;0.369952329
162;371.578003;-94.1147;1;0.657500981
162;370.233307;-94.2333;1;0.598476804
162;370;-94.2539;1;0.388799366
162;369.651642;-94.2846;1;0.194172405
162;369.578094;-94.2942;1;0.488306185
162;368.439667;-94.4397;1;0.292152333
162;368;-94.4958;1;0.568081176
162;367.65152;-94.5403;1;0.290956433
162;367.577911;-94.5522;1;0.564136181
162;366.701111;-94.7011;1;0.080911058
162;366;-94.8202;1;0.711903419
162;365.651123;-94.8795;1;0.177654359
162;365.577454;-94.8953;1;0.424663402
162;365.010773;-95.0108;1;0.802245439
162;364;-95.2167;1;0.083348805
162;363.650574;-95.2879;1;0.795510135
162;363.552124;-95.3141;1;0.749436924
162;363.359436;-95.3594;1;0.443962407
162;362;-95.6793;1;0.927807368
162;361.740326;-95.7403;1;0.242322813
162;361.625122;-95.7674;1;0.434908996
162;360.861877;-96;1;0.396961928
162;360.201263;-96.2013;1;0.006785662
162;360;-96.2626;1;0.558724291
162;359.698181;-96.3546;1;0.674051747
162;359.648712;-96.3728;1;0.373518341
162;359.574463;-96.4037;1;0.830498745
162;358.721405;-96.7214;1;0.794080736
162;358;-96.9901;1;0.554416127
162;357.647217;-97.1215;1;0.514878369
162;357.30658;-97.2682;1;0.15615901
162;357.279846;-97.2799;1;0.540215549
162;356;-97.8401;1;0.346455343
162;355.943817;-97.8647;1;0.964253974
162;355.886139;-97.8861;1;0.405024904
162;355.578979;-98;1;0.430688405
162;355.508057;-98.0263;1;0.365995975
162;354.571167;-98.5712;1;0.190240121
162;354;-98.9034;1;0.95558008
162;353.987152;-98.9108;1;0.606200812
162;353.643158;-99.1174;1;0.945654674
162;353.545593;-99.2048;1;0.414496051
162;353.35788;-99.3579;1;0.16247583
162;352.570404;-100;1;0.912954652
162;352.256195;-100.256;1;0.461154092
162;352;-100.465;1;0.197710198
162;351.15448;-101.154;1;0.843583319
162;350.117523;-102;1;0.995718861
162;350.084534;-102.027;1;0.554952719
162;350.057617;-102.058;1;0.4136145
162;350.030243;-102.089;1;0.356760563
162;350;-102.124;1;0.517998277
162;349.137177;-103.137;1;0.200830773
162;348.402161;-104;1;0.585028194
162;348.391602;-104.012;1;0.874319248
162;348.317261;-104.105;1;0.710779888
162;348.216522;-104.217;1;0.549214592
162;348;-104.457;1;0.791647357
162;347.269501;-105.269;1;0.184426071
162;346.612518;-106;1;0.234811313
162;346.587891;-106.027;1;0.48331311
162;346.310486;-106.31;1;0.13322027
162;346;-106.627;1;0.198498828
162;345.711212;-106.922;1;0.796503709
162;345.629852;-107.014;1;0.874087111
162;345.305664;-107.306;1;0.841379979
162;344.533234;-108;1;0.251713208
162;344.486908;-108.042;1;0.123082323
162;344.41803;-108.106;1;0.837217088
162;344.241638;-108.242;1;0.35295579
162;344;-108.428;1;0.666869606
162;343.111359;-109.111;1;0.475314085
162;342;-109.967;1;0.917522902
162;341.981079;-109.981;1;0.005026832
162;341.956512;-110;1;0.118921488
162;341.920624;-110.028;1;0.89794753
162;341.832458;-110.097;1;0.50843721
162;341.481201;-110.353;1;0.770347261
162;340.846283;-110.846;1;0.367601103
162;340;-111.504;1;0.660930251
162;339.746582;-111.701;1;0.585844558
162;339.720825;-111.721;1;0.048136475
162;339.351807;-112;1;0.7901023
162;339.315277;-112.028;1;0.69002453
162;338.692291;-112.692;1;0.970616623
162;338;-113.431;1;0.464691724
162;337.745758;-113.702;1;0.382128853
162;337.72522;-113.725;1;0.324458726
162;337.480194;-114;1;0.425616526
162;337.468567;-114.013;1;0.49741767
162;337.379822;-114.185;1;0.494519938
162;336.995392;-114.995;1;0.067944553
162;336.518738;-116;1;0.04323328
162;336.468262;-116.106;1;0.790982543
162;336.371613;-116.372;1;0.877968128
162;336;-117.391;1;0.242315091
162;335.837463;-117.837;1;0.001319612
162;335.778229;-118;1;0.279440481
162;335.768616;-118.026;1;0.090426798
162;335.619995;-118.281;1;0.862603239
162;335.077301;-119.077;1;0.427378394
162;334.4487;-120;1;0.796555892
162;334.432404;-120.024;1;0.886157596
162;334.217255;-120.217;1;0.69642551
162;334;-120.413;1;0.268573284
162;333.604858;-120.768;1;0.277615321
162;332.869324;-120.759;1;0.903657486
162;332.789398;-120.789;1;0.839010454
162;332;-121.093;1;0.266152125
162;331.600616;-121.246;1;0.471433595
162;331.581146;-121.236;1;0.208420262
162;331.495392;-121.154;1;0.304494479
162;331.060822;-121.061;1;0.162617812
162;330;-120.833;1;0.393638414
162;329.581421;-120.744;1;0.341546598
162;328.539581;-120.024;1;0.713421844
162;328.524048;-120;1;0.830732988
162;328.482422;-119.936;1;0.758220472
162;328;-119.386;1;0.469493436
162;326.802185;-118.019;1;0.574080095
162;326.792145;-118;1;0.153963625
162;326.764648;-117.947;1;0.496555443
162;326;-116.767;1;0.705323247
162;325.520294;-116.027;1;0.289074819
162;325.501068;-116;1;0.029345512
162;325.479462;-115.97;1;0.064815039
162;324.664886;-114.665;1;0.074352263
162;324.279419;-114.048;1;0.457479684
162;324.241577;-114;1;0.183585149
162;324.201996;-113.95;1;0.856149487
162;324;-113.7;1;0.117089725
162;322.652954;-112.028;1;0.120095578
162;322.625885;-112;1;0.436678824
162;322;-111.36;1;0.724764878
162;321.713196;-111.067;1;0.406677307
162;321.636566;-110.99;1;0.980540038
162;320.742523;-110.027;1;0.953587492
162;320.716156;-110;1;0.024432999
162;320.665161;-109.948;1;0.995662582
162;320;-109.251;1;0.328207568
162;319.64032;-108.873;1;0.257136568
162;318.816437;-108.027;1;0.127831725
162;318.792603;-108;1;0.933509038
162;318.725311;-107.925;1;0.530072896
162;318;-107.157;1;0.114584289
162;316.932129;-106.026;1;0.942180555
162;316.910553;-106;1;0.613830962
162;316.870789;-105.952;1;0.783688269
162;316;-105.026;1;0.712386874
162;315.058685;-104.026;1;0.440498758
162;315.041718;-104;1;0.266629598
162;315.010376;-103.952;1;0.779518698
162;314.610931;-103.432;1;0.039374261
162;314;-102.628;1;0.253903297
162;313.65799;-102.177;1;0.885688369
162;313.503632;-102.021;1;0.831797071
162;313.486725;-102;1;0.580613412
162;312.388336;-100.603;1;0.38493172
162;312;-100.097;1;0.722862204
162;311.935608;-100.013;1;0.492470107
162;311.925995;-100;1;0.825405191
162;311.892242;-99.9542;1;0.107290712
162;310;-98.0915;1;0.049804063
162;309.931702;-98.0242;1;0.390290141
162;309.894989;-98;1;0.350385014
162;309.648651;-97.8374;1;0.962229396
162;309.48761;-97.7802;1;0.628777275
162;308;-97.0766;1;0.993123787
162;307.678589;-96.9246;1;0.731805288
162;306.599213;-96.5992;1;0.416703542
162;306;-96.4186;1;0.01703064
162;305.749298;-96.343;1;0.922317644
162;305.682312;-96.3273;1;0.54497471
162;305.615326;-96.3204;1;0.893271126
162;304.128906;-96.1289;1;0.021928389
162;304;-96.1123;1;0.927495463
162;303.684875;-96.0717;1;0.366734446
162;303.618378;-96.0746;1;0.549908143
162;302.144104;-96.1441;1;0.215597085
162;302;-96.1509;1;0.810100783
162;301.686188;-96.1657;1;0.663167776
162;301.619934;-96.1819;1;0.132594356
162;301.536133;-96.1976;1;0.165846024
162;300.487;-96.487;1;0.990854195
162;300.222809;-96.5599;1;0.382937265
162;300;-96.6843;1;0.560025161
162;299.15567;-97.1557;1;0.940516397
162;298;-97.8009;1;0.273087863
162;297.872192;-97.8722;1;0.071857524
162;297.834808;-97.8931;1;0.674786751
162;297.683167;-97.997;1;0.670656818
162;297.680878;-98;1;0.957683557
162;297.646057;-98.0455;1;0.178103596
162;297.133148;-99.1331;1;0.480850414
162;296.745178;-99.9558;1;0.156632906
162;296.733917;-100;1;0.887030137
162;296.727814;-100.024;1;0.470313094
162;296.721497;-100.092;1;0.87882072
162;296.613434;-100.613;1;0.745216669
162;296.326019;-102;1;0.604776457
162;296.320984;-102.024;1;0.937430806
162;296.246704;-102.247;1;0.923832579
162;296;-102.985;1;0.947785055
162;295.74588;-103.746;1;0.49222859
162;295.674744;-103.959;1;0.971636804
162;295.666199;-104;1;0.353372485
162;295.660156;-104.029;1;0.272672879
162;295.053833;-105.054;1;0.26433195
162;294.521179;-105.954;1;0.377875804
162;294.500092;-106;1;0.616778114
162;294.488647;-106.025;1;0.323116503
162;294.2771;-106.277;1;0.86210689
162;294;-106.607;1;0.97993129
162;293.693848;-106.972;1;0.223608716
162;293.662048;-107.023;1;0.940886134
162;293.373657;-107.374;1;0.977087342
162;292.859161;-108;1;0.262408371
162;292.855743;-108.004;1;0.527763362
162;292.426025;-108.426;1;0.967723243
162;292;-108.844;1;0.245219991
162;291.731598;-109.108;1;0.090656403
162;291.65387;-109.201;1;0.176378098
162;291.413483;-109.413;1;0.740299489
