X;Y;0;PART_ID;Cutoff
298;372;-158.251;1;0.384161599
296.226807;372;-158.147;1;0.823710832
296.1362;372;-158.136;1;0.039695134
296;372;-158.12;1;0.917741761
295.487976;372;-158;1;0.903192752
294;372;-157.652;1;0.025113279
293.523773;372;-157.524;1;0.547702907
292;372;-157.113;1;0.128870538
290.73938;372;-156.739;1;0.961683412
290;372;-156.52;1;0.708647047
288.058472;372;-156;1;0.938660455
288;372;-155.984;1;0.795681281
287.981232;372;-155.981;1;0.127398688
286;372;-155.655;1;0.686708685
285.623291;372;-155.623;1;0.201524242
284;372;-155.484;1;0.159921528
283.468781;372;-155.469;1;0.708078765
282;372;-155.425;1;0.076759116
281.412628;372;-155.413;1;0.692810882
280;372;-155.382;1;0.179791355
279.363312;372;-155.363;1;0.641482867
278;372;-155.323;1;0.639242649
277.265137;372;-155.265;1;0.770643891
276;372;-155.165;1;0.886128259
275.093536;372;-155.094;1;0.723762095
274;372;-155.008;1;0.334053672
272.881195;372;-154.881;1;0.715849855
272;372;-154.782;1;0.200971833
270.579895;372;-154.58;1;0.072609954
270;372;-154.498;1;0.555812807
268.12677;372;-154.127;1;0.980290574
268;372;-154.102;1;0.9452363
267.351746;372;-154;1;0.63487998
266;372;-153.788;1;0.107220216
265.783813;372;-153.784;1;0.130578086
264;372;-153.749;1;0.500410067
263.774963;372;-153.775;1;0.342311169
262;372;-153.977;1;0.416953335
261.980499;372;-153.98;1;0.962620518
261.880951;372;-154;1;0.628009487
260.308044;372;-154.308;1;0.960091337
260;372;-154.368;1;0.410499329
258.665955;372;-154.666;1;0.044911964
258;372;-154.814;1;0.345832288
256.957489;372;-154.957;1;0.77181446
256;372;-155.089;1;0.573119224
255.13916;372;-155.139;1;0.787446714
254;372;-155.206;1;0.680800615
253.212555;372;-155.213;1;0.022615686
252;372;-155.223;1;0.465254988
251.195206;372;-155.195;1;0.382839604
249.999969;372;-155.154;1;0.591003231
249.141861;372;-155.142;1;0.757812184
248;372;-155.126;1;0.804137981
247.998886;372;-155.126;1;0.024547745
247.097748;372;-155.098;1;0.618523671
246;372;-155.064;1;0.691191597
245.999512;372;-155.064;1;0.86049754
245.997223;372;-155.063;1;0.658892721
244.989105;372;-154.989;1;0.001431419
244;372;-154.916;1;0.61411601
243.9991;372;-154.916;1;0.735591206
243.994812;372;-154.916;1;0.910767658
242.782196;372;-154.782;1;0.019016589
242;372;-154.696;1;0.142422305
241.998535;372;-154.696;1;0.21768247
241.991592;372;-154.695;1;0.908968325
240.474609;372;-154.475;1;0.054842282
240;372;-154.406;1;0.132778372
239.997833;372;-154.405;1;0.024479547
239.987549;372;-154.403;1;0.448765714
239.94928;372;-154.396;1;0.687753755
238.337631;372;-154.088;1;0.119127491
238.025986;372;-154.026;1;0.112968467
238;372;-154.021;1;0.783699925
237.996979;372;-154.02;1;0.743288278
237.919098;372;-154;1;0.10980532
236.084686;372;-153.523;1;0.794024906
236.01506;372;-153.505;1;0.669742133
236;372;-153.501;1;0.572770605
235.995956;372;-153.5;1;0.700083932
235.976746;372;-153.496;1;0.733338369
235.29126;372;-153.291;1;0.109129244
234.000015;372;-152.906;1;0.205565154
233.994797;372;-152.904;1;0.126697778
233.96994;372;-152.899;1;0.646556571
232.475281;372;-152.475;1;0.242762447
232;372;-152.341;1;0.033881852
231.993454;372;-152.339;1;0.42109094
230.476059;372;-152.013;1;0.661748449
230.440048;372;-152.007;1;0.802398689
230.403793;372;-152.004;1;0.082680555
230.354141;372;-152;1;0.597201666
230;372;-151.969;1;0.42641367
229.965469;372;-151.965;1;0.027369061
228;372;-151.791;1;0.06722491
227.990677;372;-151.79;1;0.414068779
227.791122;372;-151.791;1;0.658851505
226.039978;372;-151.801;1;0.506573572
225.999985;372;-151.801;1;0.782580579
225.989258;372;-151.801;1;0.254208968
225.818771;372;-151.819;1;0.004266681
224.080994;372;-152;1;0.207078484
224.075211;372;-152.001;1;0.56660595
224.006088;372;-152.006;1;0.521766161
224;372;-152.007;1;0.316173878
223.987885;372;-152.008;1;0.082051179
223.930206;372;-152.011;1;0.650154223
222.28009;372;-152.28;1;0.815119064
222;372;-152.326;1;0.158345838
221.986496;372;-152.328;1;0.957136824
221.922241;372;-152.332;1;0.137829604
220.531052;372;-152.531;1;0.847777507
220;372;-152.607;1;0.978057147
219.985046;372;-152.609;1;0.277452816
219.91391;372;-152.604;1;0.18700933
218.662613;372;-152.663;1;0.263153706
218;372;-152.693;1;0.630495581
217.983475;372;-152.694;1;0.724232438
217.904709;372;-152.673;1;0.203401496
216.572144;372;-152.572;1;0.900089455
216;372;-152.529;1;0.889217371
215.981689;372;-152.528;1;0.773563201
214.075699;372;-152.056;1;0.813566887
214.012955;372;-152.013;1;0.439604185
214;372;-152.004;1;0.099662024
213.994003;372;-152;1;0.722625614
213.979614;372;-151.99;1;0.404924141
213.737457;372;-151.819;1;0.328862488
212;372;-150.752;1;0.373831169
211.97699;372;-150.738;1;0.263648929
211.478729;372;-150.433;1;0.916361085
211.178253;372;-150.009;1;0.732009859
211.173965;372;-150;1;0.36258254
210.374893;372;-148.41;1;0.790316406
210.326691;372;-148.327;1;0.202368067
210.144089;372;-148.01;1;0.9118012
210.139832;372;-148;1;0.538543113
210.0737;372;-147.838;1;0.459093432
210;372;-147.574;1;0.92148247
209.563751;372;-146.01;1;0.83587341
209.560181;372;-146;1;0.701127467
209.515381;372;-145.874;1;0.382328471
209.348816;372;-145.349;1;0.512063984
208.924652;372;-144.011;1;0.582676777
208.921143;372;-144;1;0.202469614
208.39444;372;-142.394;1;0.119937942
208.378632;372;-142.346;1;0.868657298
208.303482;372;-142.131;1;0.349702599
208.246552;372;-142;1;0.527418446
208.104309;372;-141.674;1;0.405684376
208;372;-141.438;1;0.482597249
207.367172;372;-140.012;1;0.581955138
207.363541;372;-140;1;0.357478862
207.310059;372;-139.82;1;0.216788179
207.07457;372;-139.075;1;0.782630301
206.739319;372;-138.013;1;0.902734855
206.738937;372;-138;1;0.417958073
206.701614;372;-136.752;1;0.382267075
206.697693;372;-136.698;1;0.350515121
206.648468;372;-136.013;1;0.812558275
206.649933;372;-136;1;0.946031742
206.783676;372;-134.784;1;0.279317836
206.847351;372;-134.205;1;0.748717555
206.863968;372;-134.014;1;0.178723744
206.866898;372;-134;1;0.204570524
207.067368;372;-133.067;1;0.381556629
207.246368;372;-132.235;1;0.964988032
207.298859;372;-132.014;1;0.789713663
207.303024;372;-132;1;0.386026096
207.464066;372;-131.464;1;0.03871871
207.793655;372;-130.367;1;0.716186159
207.914169;372;-130.014;1;0.172893466
207.922134;372;-130;1;0.876639772
207.9505;372;-129.951;1;0.942328409
208;372;-129.864;1;0.140277272
208.08374;372;-129.718;1;0.264794369
208.607513;372;-128.608;1;0.359475807
208.887558;372;-128.014;1;0.625401382
208.896194;372;-128;1;0.08496158
209.321457;372;-127.321;1;0.501688256
209.961441;372;-126.3;1;0.401291512
210;372;-126.254;1;0.350042142
210.115082;372;-126.115;1;0.051942129
210.201324;372;-126.011;1;0.041862203
210.204773;372;-126;1;0.046074275
210.617691;372;-124.669;1;0.022672067
210.635666;372;-124.636;1;0.308294965
210.967239;372;-124.013;1;0.378685336
210.964798;372;-124;1;0.324794367
210.744232;372;-122.796;1;0.693688434
210.734741;372;-122.735;1;0.568984228
210.623917;372;-122.014;1;0.00870513
210.61557;372;-122;1;0.758322357
210.333832;372;-121.538;1;0.864627783
210;372;-120.964;1;0.499452742
209.439072;372;-120;1;0.379642346
209.416351;372;-119.961;1;0.800725177
209.251099;372;-119.75;1;0.326444532
208.445663;372;-118.446;1;0.717204346
208.179749;372;-118.015;1;0.162247211
208.171555;372;-118;1;0.221923242
208;372;-117.686;1;0.254041738
207.243729;372;-116.299;1;0.181986907
207.047333;372;-116.016;1;0.697011261
207.037979;372;-116;1;0.772379847
206.917755;372;-115.799;1;0.715201843
206.565384;372;-114.565;1;0.251510921
206.403931;372;-114;1;0.643248701
206.170563;372;-113.183;1;0.282260705
206.108444;372;-113.005;1;0.20182025
206.092163;372;-112.092;1;0.833483188
206.090515;372;-112;1;0.196766112
206.056961;372;-110.119;1;0.089168318
206.055496;372;-110.056;1;0.381585489
206.054581;372;-110.016;1;0.190731157
206.054489;372;-110;1;0.617319374
206.043076;372;-108.166;1;0.207445091
206.046814;372;-108.047;1;0.536102128
206.047775;372;-108.016;1;0.661255896
206.046356;372;-108;1;0.448050737
206;372;-107.478;1;0.859150694
205.883804;372;-106.17;1;0.089525671
205.880219;372;-106.016;1;0.080823036
205.875687;372;-106;1;0.841169955
205.826416;372;-105.826;1;0.878501242
205.761536;372;-105.598;1;0.779296342
205.013184;372;-104.016;1;0.615460065
204.999847;372;-104;1;0.611349892
204.633331;372;-103.555;1;0.084609033
204;372;-102.917;1;0.433743242
203.952942;372;-102.87;1;0.522960991
202.459595;372;-102.256;1;0.161454168
202.202759;372;-102.203;1;0.023250417
202.182953;372;-102.199;1;0.244613559
202;372;-102.172;1;0.917338074
201.950775;372;-102.164;1;0.473646847
