,X,Y,Z,formation,series,formation_number,order_series,isFault,annotations,formation_value
0,600.0,1000.0,600.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},0}$",1
1,700.0,1000.0,900.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},1}$",1
2,800.0,1000.0,1200.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},2}$",1
3,900.0,1000.0,1500.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},3}$",1
4,500.0,1000.0,300.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},4}$",1
16,2000.0,2000.0,100.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{7}},0}$",7
14,0.0,0.0,100.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},1}$",6
13,2000.0,2000.0,500.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},0}$",6
12,0.0,0.0,400.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",5
11,2000.0,2000.0,800.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",5
8,2000.0,2000.0,1300.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",3
10,0.0,0.0,800.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",4
15,0.0,0.0,0.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{7}},1}$",7
7,0.0,0.0,900.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",3
6,0.0,0.0,1100.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",2
5,2000.0,2000.0,1500.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",2
9,2000.0,2000.0,1200.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",4
