X;Y;Z;Strati;PART_ID
5.782996;0.236769;4.34537;1.15;1
5.717078;-0.013247;4.28677;1.15;1
5.651161;-0.263263;4.22818;1.15;1
5.575165;0.023315;4.16896;1.15;1
5.52909;0.036329;4.06705;1.15;1
5.47538;0.029179;3.8815;1.15;1
5.439121;-0.123929;3.70697;1.15;1
5.431435;-0.336246;3.57388;1.15;1
5.433557;-0.352763;3.46421;1.15;1
5.438303;-0.28898;3.36859;1.15;1
5.456579;0.414946;3.27022;1.15;1
5.43342;0.092031;3.15863;1.15;1
5.355295;-0.190035;3.03656;1.15;1
5.208812;0.494534;3.01703;1.15;1
5.035851;0.05912;2.9899;1.15;1
4.93917;0.388713;2.96759;1.15;1
4.931732;0.044076;2.84115;1.15;1
4.93179;0.489256;2.68614;1.15;1
4.931732;0.427414;2.51392;1.15;1
4.924063;-0.3274;2.3531;1.15;1
4.924295;-0.496614;2.18669;1.15;1
4.940099;0.043685;2.01192;1.15;1
4.939169;-0.172551;1.82971;1.15;1
4.901984;-0.181565;1.65122;1.15;1
4.864798;-0.341712;1.52107;1.15;1
4.797864;-0.190795;1.44298;1.15;1
4.729071;-0.262694;1.36396;1.15;1
4.6045;0.309514;1.29424;1.15;1
4.42601;0.089418;1.23474;1.15;1
4.284706;0.356076;1.21871;1.15;1
4.150837;-0.435286;1.24962;1.15;1
3.987221;-0.013083;1.28401;1.15;1
3.823605;0.227487;1.3463;1.15;1
3.68904;-0.296911;1.40701;1.15;1
3.548433;0.090954;1.47273;1.15;1
3.372731;-0.002995;1.54501;1.15;1
3.191452;-0.23683;1.61403;1.15;1
3.042711;0.214851;1.67074;1.15;1
2.913878;0.140743;1.71722;1.15;1
2.774975;0.148309;1.77021;1.15;1
2.596175;-0.421828;1.84458;1.15;1
2.410557;-0.014063;1.91895;1.15;1
2.251667;0.335494;1.97566;1.15;1
2.105637;0.000823;2.02307;1.15;1
1.950862;-0.287813;2.07478;1.15;1
1.785841;0.035383;2.13463;1.15;1
1.61932;0.060149;2.19833;1.15;1
1.466047;0.236172;2.26106;1.15;1
1.332644;-0.106408;2.31492;1.15;1
1.185683;-0.452978;2.36082;1.15;1
1.005785;-0.081732;2.41195;1.15;1
0.81165;0.435504;2.45544;1.15;1
0.621648;0.103743;2.49328;1.15;1
0.460779;-0.366873;2.51667;1.15;1
0.32491;0.271795;2.53124;1.15;1
0.176671;0.140472;2.53529;1.15;1
5.613163;-0.119974;4.19857;1.15;1
5.444395;-0.054338;3.3358;1.15;1
5.450487;0.180304;3.30301;1.15;1
5.445;0.253488;3.21443;1.15;1
5.394358;-0.049002;3.09759;1.15;1
5.306468;0.038154;3.03005;1.15;1
5.257639;0.266344;3.02354;1.15;1
5.122332;0.276827;3.00346;1.15;1
4.987511;0.223916;2.97874;1.15;1
4.935451;0.216394;2.90437;1.15;1
4.931761;0.266666;2.76365;1.15;1
4.929176;0.17581;2.46031;1.15;1
4.926619;-0.075795;2.4067;1.15;1
4.932197;-0.226464;2.0993;1.15;1
4.666786;0.02341;1.3291;1.15;1
4.355358;0.222747;1.22672;1.15;1
4.240083;0.092289;1.22901;1.15;1
4.19546;-0.171499;1.23931;1.15;1
4.069029;-0.224185;1.26682;1.15;1
3.756322;-0.034712;1.37666;1.15;1
3.618736;-0.102978;1.43987;1.15;1
3.282092;-0.119913;1.57952;1.15;1
3.117081;-0.01099;1.64239;1.15;1
2.715375;-0.041736;1.795;1.15;1
2.655775;-0.231782;1.81979;1.15;1
2.503366;-0.217946;1.88177;1.15;1
2.331112;0.160715;1.94731;1.15;1
2.178652;0.168158;1.99937;1.15;1
2.028249;-0.143495;2.04893;1.15;1
1.868351;-0.126215;2.10471;1.15;1
1.399346;0.064882;2.28799;1.15;1
1.259164;-0.279693;2.33787;1.15;1
1.095734;-0.267355;2.38639;1.15;1
0.908717;0.176886;2.4337;1.15;1
0.716649;0.269623;2.47436;1.15;1
0.541213;-0.131565;2.50497;1.15;1
0.415489;-0.153984;2.52152;1.15;1
0.370199;0.058905;2.52638;1.15;1
