X;Y;Z;Strati;PART_ID
10.295227;0.182503;1.25328;5.200000;1
10.308938;0.395599;1.42489;5.200000;1
10.332090;0.147206;1.55363;5.200000;1
10.359694;-0.273491;1.65259;5.200000;1
10.389619;0.051627;1.67821;5.200000;1
10.438280;0.344764;1.69749;5.200000;1
10.587311;0.472410;1.67223;5.200000;1
10.718938;0.149573;1.60488;5.200000;1
10.873301;0.085932;1.51507;5.200000;1
11.010823;-0.036715;1.41122;5.200000;1
11.086601;0.010783;1.3607;5.200000;1
10.345892;-0.063142;1.60311;5.200000;1
10.374657;-0.110932;1.6654;5.200000;1
10.653124;0.310991;1.63855;5.200000;1
11.470213;0.282821;1.35501;5.200000;2
11.520885;0.134955;1.33577;5.200000;2
11.571557;-0.012911;1.31653;5.200000;2
11.618086;-0.245436;1.29874;5.200000;2
11.664615;-0.477961;1.28095;5.200000;2
11.691947;-0.240815;1.2707;5.200000;2
11.719278;-0.003670;1.26045;5.200000;2
11.746611;0.233476;1.25019;5.200000;2
11.773943;0.470621;1.23994;5.200000;2
11.817730;0.197237;1.22275;5.200000;2
11.861517;-0.076148;1.20557;5.200000;2
11.905304;-0.349533;1.18838;5.200000;2
11.973866;-0.181941;1.16003;5.200000;2
12.042426;-0.014350;1.13168;5.200000;2
12.112723;-0.230784;1.10448;5.200000;2
12.183021;-0.447219;1.07729;5.200000;2
12.247808;-0.251604;1.05271;5.200000;2
12.312595;-0.055990;1.02812;5.200000;2
12.375095;-0.237683;1.01105;5.200000;2
12.437595;-0.419376;0.993975;5.200000;2
12.481410;-0.194848;0.985863;5.200000;2
12.525226;0.029679;0.977751;5.200000;2
12.569040;0.254206;0.969639;5.200000;2
12.642176;0.060768;0.963293;5.200000;2
12.715312;-0.132671;0.956946;5.200000;2
12.872252;-0.164293;0.938576;5.200000;2
12.948841;0.008175;0.929246;5.200000;2
13.025431;0.180642;0.919917;5.200000;2
13.156769;0.171614;0.900824;5.200000;2
13.218388;-0.071732;0.884913;5.200000;2
13.280005;-0.315077;0.869002;5.200000;2
13.412395;-0.079217;0.829215;5.200000;2
13.485059;-0.254574;0.805137;5.200000;2
13.557722;-0.429932;0.781058;5.200000;2
13.632277;-0.245430;0.756777;5.200000;2
13.706833;-0.060928;0.732496;5.200000;2
13.815107;0.214221;0.696605;5.200000;2
13.923383;0.489369;0.660714;5.200000;2
