,X,Y,Z,formation,series,formation_number,order_series,isFault,annotations,formation_value
1,700.0,1000.0,900.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},0}$",1
2,800.0,1000.0,1200.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},1}$",1
3,900.0,1000.0,1500.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},2}$",1
4,500.0,1000.0,300.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},3}$",1
0,600.0,1000.0,600.0,Main_Fault,Fault_Series,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},4}$",1
22,250.0,500.0,1100.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",2
23,835.0,450.0,1100.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",2
24,250.0,1500.0,1100.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},2}$",2
25,1250.0,1000.0,1000.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},3}$",2
18,755.0,460.0,900.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",3
19,250.0,1500.0,900.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",3
20,1250.0,1000.0,800.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},2}$",3
21,250.0,500.0,900.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},3}$",3
16,250.0,500.0,800.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",4
15,1250.0,1000.0,700.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",4
26,715.0,505.0,800.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},2}$",4
13,250.0,1500.0,800.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},3}$",4
14,640.0,490.0,500.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",5
11,1250.0,1000.0,400.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",5
12,250.0,500.0,500.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},2}$",5
9,250.0,1500.0,500.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},3}$",5
10,250.0,1500.0,300.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},0}$",6
8,1250.0,1000.0,200.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},1}$",6
7,250.0,500.0,300.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},2}$",6
17,1250.0,1000.0,100.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{7}},0}$",7
6,250.0,500.0,200.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{7}},1}$",7
5,250.0,1500.0,200.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{7}},2}$",7
