,x,y,z
0,67.68222670380754,1.0,35.670556675951886
1,25.75254014553415,1.0,36.438135036383535
2,20.41663082077828,1.0,35.10415770519457
3,54.61832921746021,1.0,32.40458230436505
4,69.75220728070067,1.0,36.18805182017517
5,38.07958141120149,1.0,39.519895352800376
6,93.2687778546154,1.0,42.06719446365385
7,66.6346764726377,1.0,35.40866911815942
8,43.283871133592484,1.0,40.82096778339812
9,35.29057663747355,1.0,38.82264415936839
10,30.886021453578245,1.0,47.72150536339456
11,70.61447366456375,1.0,46.40361841614094
12,39.471502021166195,1.0,49.86787550529155
13,5.371010694861152,1.0,41.34275267371529
14,35.82398297973883,1.0,48.95599574493471
15,71.41958651588321,1.0,46.604896628970806
16,16.424255740815,1.0,44.10606393520375
17,15.790658053274328,1.0,43.947664513318585
18,52.83962364576545,1.0,41.95990591144137
19,52.86448283871794,1.0,41.96612070967949
20,62.09608626961889,1.0,54.27402156740473
21,81.44886146700107,1.0,59.11221536675026
22,70.20097923745718,1.0,56.3002448093643
23,59.99211596098245,1.0,53.748028990245615
24,70.01990443131994,1.0,56.25497610782999
25,29.066302246786037,1.0,57.26657556169651
26,32.56097900600827,1.0,58.14024475150207
27,20.543690779106004,1.0,55.135922694776504
28,26.43426417499464,1.0,56.60856604374866
29,61.78785114690389,1.0,54.196962786725976
