,X,Y,Z,formation,series,formation_number,order_series,isFault,annotations,formation_value
46,500.0,1000.0,1500.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",2
56,1500.0,1000.0,500.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},7}$",7
49,500.0,1000.0,800.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},6}$",5
50,1500.0,1000.0,800.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},5}$",5
51,1000.0,1000.0,600.0,Sandstone_2,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},4}$",5
52,500.0,1000.0,700.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},3}$",6
53,1500.0,1000.0,700.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},2}$",6
54,1000.0,1000.0,500.0,Schist,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",6
57,1000.0,1000.0,300.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},8}$",7
55,500.0,1000.0,500.0,Gneiss,Strat_Series,7,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",7
15,500.0,1000.0,1200.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",4
12,1500.0,1000.0,1200.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",4
19,500.0,1000.0,1300.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},2}$",3
20,1500.0,1000.0,1300.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",3
21,1000.0,1000.0,1100.0,Siltstone,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",3
47,1500.0,1000.0,1500.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},2}$",2
27,1000.0,1000.0,1200.0,Sandstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",2
9,1000.0,1000.0,1000.0,Shale,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},2}$",4
