X,Y,Z,X_r,Y_r,Z_r,formation,series,id,order_series,smooth
737866.44,1916440.94,408.293632,0.4736471608999658,0.4589280664098209,0.4929178917721893,fault_left,fault_left,1,1,1e-08
737393.89,1917771.71,321.804233,0.4598361365138869,0.4978219335609481,0.4903901016997599,fault_left,fault_left,1,1,1e-08
737824.59,1917182.81,345.54013599999996,0.4724240281720912,0.4806103956052571,0.4910838211689349,fault_left,fault_left,1,1,1e-08
739063.13,1914761.51,356.96948399999997,0.5086223270677365,0.4098440569193649,0.4914178620195221,fault_left,fault_left,1,1,1e-08
738479.04,1915276.11,377.76717,0.4915513690026311,0.42488405935101975,0.4920257074295741,fault_left,fault_left,1,1,1e-08
738375.75,1915524.08,379.181089,0.4885325546785621,0.4321313764963295,0.4920670314583308,fault_left,fault_left,1,1,1e-08
737590.48,1917621.64,314.629286,0.4655817915431097,0.4934358994277979,0.4901804024764273,fault_left,fault_left,1,1,1e-08
737692.8,1917370.45,344.002004,0.4685722560763542,0.4860944726675845,0.4910388668179434,fault_left,fault_left,1,1,1e-08
737973.38,1916306.72,407.53772299999997,0.4767726522719865,0.4550052737040767,0.4928957991309181,fault_left,fault_left,1,1,1e-08
736659.33,1919824.65,409.42467999999997,0.4383674536802389,0.5578223661144561,0.492950948446636,fault_left,fault_left,1,1,1e-08
736175.65,1921407.13,617.1316879999998,0.4242311373643809,0.6040728578518069,0.4990215156938012,fault_left,fault_left,1,1,1e-08
742298.34,1916230.43,227.104821,0.6031764783831367,0.4527755772689595,0.4876223609559666,fault_lr,fault_lr,2,2,1e-08
743019.23,1915920.01,346.222435,0.624245633752266,0.4437030596730941,0.4911037624410281,fault_lr,fault_lr,2,2,1e-08
743444.65,1915465.78,442.65879299999995,0.6366792090233,0.43042746638796175,0.4939222681907748,fault_lr,fault_lr,2,2,1e-08
743159.56,1915758.03,352.647665,0.628347000913624,0.4389689368711533,0.4912915499941254,fault_lr,fault_lr,2,2,1e-08
742804.77,1916009.65,285.059311,0.6179776995869113,0.4463229310644111,0.4893161729857473,fault_lr,fault_lr,2,2,1e-08
739523.11,1918881.5,272.56482,0.5220659732366271,0.5302573091898324,0.4889510016390271,fault_right,fault_right,3,3,1e-08
739523.11,1918881.5,272.56482,0.5220659732366271,0.5302573091898324,0.4889510016390271,fault_right,fault_right,3,3,1e-08
739337.25,1919764.72,328.226726,0.5166339195017909,0.5560708166668697,0.4905778092596846,fault_right,fault_right,3,3,1e-08
739368.8,1920230.31,412.295905,0.5175560183683268,0.5696784239971344,0.4930348645581437,fault_right,fault_right,3,3,1e-08
739523.11,1918881.5,272.56482,0.5220659732366271,0.5302573091898324,0.4889510016390271,fault_right,fault_right,3,3,1e-08
739520.42,1918475.21,293.752678,0.5219873537136184,0.5183828385564151,0.4895702504455593,fault_right,fault_right,3,3,1e-08
739432.91,1921404.27,307.2002950000001,0.5194297349557597,0.6039892698087587,0.4899632784136509,fault_right,fault_right,3,3,1e-08
739630.11,1922747.93,315.142413,0.5251932182039547,0.6432598676853862,0.4901953994280941,fault_right,fault_right,3,3,1e-08
740296.43,1921980.39,362.909221,0.5446674786397484,0.6208272919636784,0.4915914602684988,TRIAS,Trias_Series,4,4,1e-08
740508.41,1918165.96,285.94569,0.5508629308656741,0.5093445160690687,0.4893420788200174,TRIAS,Trias_Series,4,4,1e-08
740514.08,1918162.75,286.344702,0.5510286456223519,0.50925069872005,0.4893537405795398,TRIAS,Trias_Series,4,4,1e-08
740669.86,1917432.62,263.89051,0.5555815635757199,0.4879114896733719,0.4886974811503118,TRIAS,Trias_Series,4,4,1e-08
740635.79,1917668.07,253.27375899999998,0.5545858137062181,0.4947928899309153,0.4883871897378433,TRIAS,Trias_Series,4,4,1e-08
742991.43,1917577.86,294.191288,0.6234331345925325,0.4921563593841629,0.4895830695195324,TRIAS,Trias_Series,4,4,1e-08
740634.56,1917780.73,240.40215800000001,0.5545498650023886,0.4980855573890355,0.4880109967523414,TRIAS,Trias_Series,4,4,1e-08
740486.85,1918229.12,293.930121,0.5502328056180502,0.5111904673974508,0.4895754364990989,TRIAS,Trias_Series,4,4,1e-08
738689.37,1913266.01,228.512532,0.4976985973575646,0.3661356938479776,0.4876635035460619,TRIAS,Trias_Series,4,4,1e-08
736436.36,1914663.25,275.063473,0.4318508012469217,0.4069722523353495,0.4890240287420116,TRIAS,Trias_Series,4,4,1e-08
739480.9,1914378.88,397.960997,0.5208323189369002,0.3986610873693748,0.4926159041011333,TRIAS,Trias_Series,4,4,1e-08
739010.32,1913618.88,289.093957,0.5070788709301219,0.3764488801248049,0.4894340919240506,TRIAS,Trias_Series,4,4,1e-08
737664.53,1915280.47,392.885671,0.4677460204200326,0.42501148727678745,0.492467569636731,TRIAS,Trias_Series,4,4,1e-08
739235.16,1913852.37,341.805969,0.5136501770838996,0.3832729962689359,0.4909746842067114,TRIAS,Trias_Series,4,4,1e-08
738837.12,1913660.75,277.421806,0.5020168258054398,0.37767259738445297,0.4890929547701007,TRIAS,Trias_Series,4,4,1e-08
739393.81,1914213.3,388.044555,0.5182869753462043,0.3938217488489112,0.4923260803316165,TRIAS,Trias_Series,4,4,1e-08
