,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
43,745312.75,6878221.0,452.733051,0.7485755155833325,0.34283807440050246,0.5454455234290538,EarlyGranite,EarlyGranite_Series,1,1,1e-06
44,741494.625,6877535.5,460.20235,0.7092632517529318,0.33578001400286234,0.5455224289921028,EarlyGranite,EarlyGranite_Series,1,1,1e-06
45,735914.188,6876556.5,456.48238899999996,0.6518058317803195,0.32570001235546675,0.5454841274466398,EarlyGranite,EarlyGranite_Series,1,1,1e-06
46,734739.375,6874011.0,446.031913,0.639709695952555,0.2994909784500067,0.5453765270224354,EarlyGranite,EarlyGranite_Series,1,1,1e-06
47,733564.563,6874598.5,452.620638,0.6276135704210122,0.30554000906067563,0.5454443659998147,EarlyGranite,EarlyGranite_Series,1,1,1e-06
48,734837.313,6876850.5,469.89565,0.6407180873737421,0.32872710171638025,0.5456222333638788,EarlyGranite,EarlyGranite_Series,1,1,1e-06
49,735326.813,6881354.0,492.347775,0.64575808819744,0.3750961389166315,0.5458534054343461,EarlyGranite,EarlyGranite_Series,1,1,1e-06
50,733858.313,6882724.5,486.360734,0.6306380857263466,0.38920711160075366,0.545791761529195,EarlyGranite,EarlyGranite_Series,1,1,1e-06
51,731508.625,6881941.0,476.162317,0.6064451757050338,0.3811400214161424,0.5456867563604914,EarlyGranite,EarlyGranite_Series,1,1,1e-06
52,729746.438,6879004.0,468.440123,0.5883013065906115,0.3509000164739557,0.5456072469342998,EarlyGranite,EarlyGranite_Series,1,1,1e-06
53,727788.375,6878514.5,465.16227599999996,0.5681406546338148,0.3458600156502579,0.5455734974928699,EarlyGranite,EarlyGranite_Series,1,1,1e-06
54,729354.813,6881354.0,469.46642099999997,0.5842690485260954,0.3750961389166315,0.5456178139266703,EarlyGranite,EarlyGranite_Series,1,1,1e-06
55,729159.0,6884095.0,480.639992,0.5822529143457266,0.40331808428487587,0.5457328594977503,EarlyGranite,EarlyGranite_Series,1,1,1e-06
56,726319.875,6884389.0,472.41144699999995,0.5530206521627214,0.40634517364578937,0.5456481365690928,EarlyGranite,EarlyGranite_Series,1,1,1e-06
57,723284.938,6882235.0,475.41346100000004,0.5217722660955691,0.3841671107770559,0.5456790459726326,EarlyGranite,EarlyGranite_Series,1,1,1e-06
58,721522.688,6879591.5,471.253042,0.5036277483191414,0.3569490470846246,0.5456362093736807,EarlyGranite,EarlyGranite_Series,1,1,1e-06
59,720935.313,6881941.0,492.156175,0.4975800047362619,0.3811400214161424,0.5458514326781504,EarlyGranite,EarlyGranite_Series,1,1,1e-06
60,720445.813,6883703.5,498.30804000000006,0.49254000391256414,0.39928711324814925,0.5459147736478486,EarlyGranite,EarlyGranite_Series,1,1,1e-06
61,717410.875,6883507.5,507.58461900000003,0.4612916075491902,0.39726905367420695,0.5460102873675649,EarlyGranite,EarlyGranite_Series,1,1,1e-06
62,714571.688,6882039.0,506.53461200000004,0.43205870700040117,0.3821490512031136,0.5459994762620595,EarlyGranite,EarlyGranite_Series,1,1,1e-06
63,711243.063,6879493.5,505.437117,0.39778644399369834,0.35594001729765345,0.5459881762095488,EarlyGranite,EarlyGranite_Series,1,1,1e-06
64,709676.625,6881549.5,515.202397,0.3816580501014178,0.3771090503794158,0.546088721703407,EarlyGranite,EarlyGranite_Series,1,1,1e-06
65,710264.063,6883899.5,524.0556650000001,0.3877064423463028,0.40130517282209155,0.5461798769189584,EarlyGranite,EarlyGranite_Series,1,1,1e-06
66,707914.438,6882724.5,507.24563600000005,0.3635141809869955,0.38920711160075366,0.5460067971232355,EarlyGranite,EarlyGranite_Series,1,1,1e-06
67,703802.563,6877340.0,483.05280700000003,0.3211774018512604,0.333767102540078,0.5457577023773977,EarlyGranite,EarlyGranite_Series,1,1,1e-06
68,699886.5,6872934.5,470.146586,0.2808567465996726,0.28840709512679796,0.5456248170567218,EarlyGranite,EarlyGranite_Series,1,1,1e-06
69,697047.375,6869214.0,456.299059,0.2516244844166675,0.2501,0.5454822398402026,EarlyGranite,EarlyGranite_Series,1,1,1e-06
0,735484.817806,6891936.435338001,-1819.319309,0.647384940807018,0.4840552458017232,0.5220519672168281,SimpleMafic2,BIF_Series,2,2,1e-06
1,729854.915982,6891937.840530001,-1432.263309,0.5894182200096779,0.4840697139709505,0.5260371818415823,SimpleMafic2,BIF_Series,2,2,1e-06
2,724084.2671609999,6891939.280852,-4739.830309,0.5300023368409125,0.4840845438464651,0.4919817366844105,SimpleMafic2,BIF_Series,2,2,1e-06
3,733521.625,6895282.5,521.55524,0.6271714712272067,0.5185070714454867,0.5461541319872738,SimpleMafic2,BIF_Series,2,2,1e-06
