,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
15,743403.6875,6877878.25,454.74995199999995,0.7289193836681321,0.3393090442016824,0.5454662898901393,0.17435731030158103,-0.9692501424997381,0.17364817766793042,80.0,169.802194,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
16,738704.4065,6877046.0,458.14874000000003,0.6805345417666262,0.33074001317916457,0.5455012845669923,0.17005791273562937,-0.9700137198552169,0.17364817766793042,80.0,170.056246,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
17,735326.7815,6875283.75,452.96645599999994,0.6457577638664378,0.31259549540273673,0.5454479266188236,0.8938984296759075,-0.4132697760747355,0.17364817766793042,80.0,114.81218500000001,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
18,734151.969,6874304.75,448.179887,0.6336616331867841,0.30251549375534115,0.5453986430402685,-0.4396965705831378,-0.8811998843666176,0.17364817766793042,80.0,206.51804199999998,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
19,734200.938,6875724.5,461.98580400000003,0.6341658288973772,0.31713355538852794,0.5455407918309771,-0.857926514169013,0.4835373891210603,0.17364817766793042,80.0,299.406115,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
20,735082.063,6879102.25,480.551436,0.6432380877855911,0.35191162031650586,0.5457319477054868,-0.9791340537242994,0.10555953404893238,0.17364817766793042,80.0,276.153239,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
21,734592.563,6882039.25,487.287083,0.6381980869618933,0.38215162525869256,0.5458012994244411,-0.6723043953762564,-0.7196201153024675,0.17364817766793042,80.0,223.05309300000002,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
22,732683.469,6882332.75,481.71195199999994,0.6185416307156908,0.38517356650844803,0.5457438966362241,0.3108420554206961,-0.9344642994644278,0.17364817766793042,80.0,161.600709,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
23,730627.5315,6880472.5,477.40265800000003,0.5973732411478233,0.36602001894504904,0.545699527187175,0.8442658343469975,-0.5070123384573562,0.17364817766793042,80.0,120.98634799999999,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
24,728767.4065,6878759.25,470.031623,0.5782209806122138,0.3483800160621068,0.5456236333721157,0.23857012308693834,-0.9554740220235208,0.17364817766793042,80.0,165.980598,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
25,728571.594,6879934.25,472.536776,0.5762048515799557,0.3604780772834447,0.5456494269843395,-0.8624104574918853,0.4754939675756334,0.17364817766793042,80.0,298.87034700000004,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
26,729256.9065,6882724.5,471.72292400000003,0.5832609814359115,0.38920711160075366,0.5456410473832151,-0.9822538012829838,-0.07087863046064441,0.17364817766793042,80.0,265.87273700000003,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
27,727739.4375,6884242.0,474.25872599999997,0.567636783254224,0.4048316289653326,0.5456671565643565,-0.10193532939980383,-0.9795179932042825,0.17364817766793042,80.0,185.941204,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
28,724802.4065,6883312.0,473.707869,0.5373964591291459,0.39525614221142263,0.5456614848182202,0.5700993409362939,-0.8030149761097184,0.17364817766793042,80.0,144.627207,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
29,722403.813,6880913.25,470.70706500000006,0.5127000072073552,0.37055807893084025,0.5456305878731094,0.8192953473908405,-0.5464443650887268,0.17364817766793042,80.0,123.702047,1.0,EarlyGranite,EarlyGranite_Series,1,1,0.01
